month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,n_firms,manager_seats,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_total_vs_cf,variant,seed
0,2158,1443,854,4455,269,24,45,45,27,64,0,2.7960043930780468e-05,0.03960832151777864,150,702,1.003736288938464,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,1.0,0.3372365339578454,1.0018570102135562,1.0022497187851518,aux_base,0
1,2168,1450,864,4482,260,38,92,92,21,62,0,3.409131232401352e-05,0.043229853876958366,149,696,1.0037056262832784,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,1.0,0.4305555555555556,1.0041685965724874,1.0074173971679028,aux_base,0
2,2155,1428,849,4432,324,33,61,61,19,106,0,4.1052992202114705e-05,0.046585558574944945,149,689,1.0037530031385122,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,1.0,0.44758539458186103,1.018431001890359,1.0153493699885452,aux_base,0
3,2157,1437,857,4451,320,32,73,73,16,53,0,5.1878097562881656e-05,0.05266673024040091,149,694,1.0036152845087776,5831.804495335029,9166.666666666666,12500.0,2.143418904045735,1.0,0.44457409568261375,1.025190114068441,1.0243958573072498,aux_base,0
4,2147,1426,849,4422,357,29,57,57,15,84,5,6.435488955288453e-05,0.058433752017830125,150,684,1.003380383451014,5827.69516474127,9166.666666666666,12500.0,2.1449303106359303,1.0,0.4409893992932862,1.018984337921215,1.0179558011049723,aux_base,0
5,2147,1433,856,4436,352,38,82,82,14,66,3,8.121722686463624e-05,0.06594007107964701,150,684,1.0029956602264436,5822.038584786903,9166.666666666666,12500.0,2.147014283392545,1.0,0.4532710280373832,1.0117813383600378,1.0158003205862147,aux_base,0
6,2131,1418,847,4396,398,27,51,51,13,87,3,0.00010164764029718022,0.07377549207644052,150,677,1.0024621967712142,5813.13057416427,9166.666666666666,12500.0,2.1503043567530864,1.0,0.4472929667734863,0.99719232569022,0.998863894569416,aux_base,0
7,2129,1423,844,4396,406,30,70,70,12,66,0,0.00012739966462538442,0.08264127406831022,150,673,1.001824937801943,5802.706530219402,9166.666666666666,12500.0,2.154167186450384,1.0,0.44609004739336494,1.0,1.0018231540565177,aux_base,0
8,2115,1417,851,4383,428,34,88,88,11,101,2,0.00016027713184646312,0.09290108916081975,149,673,1.0009792305810135,5789.66544545641,9166.666666666666,12500.0,2.159019397193269,1.0,0.44653349001175086,1.0119617224880382,1.0202513966480447,aux_base,0
9,2105,1412,840,4357,459,29,52,52,10,76,3,0.00019344710648439353,0.10017178267312399,149,663,1.0000824990809705,5774.624252752751,9166.666666666666,12500.0,2.1646430058269637,1.0,0.4485714285714285,1.0028585040495475,1.00437989857077,aux_base,0
10,2069,1385,826,4280,541,27,57,57,10,132,3,0.00023985118878542847,0.11093783801532237,146,652,0.9987620044350632,5754.626766956418,9164.281153676793,12500.0,2.1721651996226967,1.0,0.45036319612590797,0.9866475917978064,0.9866297833102813,aux_base,0
11,2082,1395,828,4305,517,32,73,73,9,46,6,0.00028606006014961845,0.11816215654812516,146,658,0.9976157677010816,5735.832099239708,9164.281153676793,12500.0,2.1792827585829944,1.0,0.4504830917874396,1.007256894049347,1.0100891600187705,aux_base,0
12,2102,1399,834,4335,491,41,81,81,9,51,5,0.00033383524400012213,0.12313289472710146,147,660,0.9965690303350495,5718.946523875048,9164.281153676793,12500.0,2.1857172379241345,1.0,0.4676258992805755,1.011063011063011,1.0060338825713622,aux_base,0
