month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,n_firms,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_total_vs_cf,senior_premium_vs_cf,eps,seed
0,2178,1453,867,4498,236,36,70,70,27,55,0,2.7960043930780468e-05,0.03960832151777864,150,1.0037184904216425,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,0.5,0.4982698961937716,1.011142061281337,1.0119235095613048,1.0,0.5,0
1,2163,1451,859,4473,281,32,69,69,23,91,0,3.409131232401352e-05,0.043229853876958366,149,1.0037140095709784,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,0.5,0.47497089639115253,1.001852709587772,1.0053944706675657,1.0,0.5,0
2,2144,1434,851,4429,338,28,63,63,18,102,0,3.561671593718697e-05,0.04041665460997821,147,1.0035927091188055,5831.212572725983,9166.666666666666,12500.0,2.1436364811095343,0.5,0.4512338425381904,1.0132325141776937,1.0146620847651775,0.9996933532182914,0.5,0
3,2145,1435,852,4432,348,30,70,70,15,66,1,4.335451732214133e-05,0.04401357751680001,148,1.0033712208226924,5827.639320163432,9166.666666666666,12500.0,2.1449508648811584,0.5,0.44366197183098594,1.019486692015209,1.0200230149597238,0.9991291393302127,0.5,0
4,2141,1430,849,4420,367,23,54,54,14,64,5,5.4062413962191056e-05,0.04908826218023324,148,1.0030490929302274,5822.241085845807,9166.666666666666,12500.0,2.146939608939966,0.5,0.42120141342756184,1.0161366872330329,1.0174953959484345,0.9986952615464448,0.5,0
5,2131,1429,845,4405,391,32,69,69,13,82,2,6.751360257109944e-05,0.05481413148716815,147,1.0025627489716529,5814.308983620766,9166.666666666666,12500.0,2.149868545894826,0.5,0.4284023668639053,1.0042412818096136,1.0087016258300894,0.9988066985674365,0.5,0
6,2133,1426,848,4407,396,27,61,61,12,55,1,8.18522907290837e-05,0.05940809849069893,147,1.0020186232393578,5805.439616538996,9166.666666666666,12500.0,2.153153047081742,0.5,0.42048517520215634,0.9981282171268133,1.0013633265167008,0.9991895265397177,0.5,0
7,2133,1421,847,4401,403,31,61,61,12,63,7,9.894018295678721e-05,0.06418025353633018,149,1.0014518384288975,5796.046545698753,9166.666666666666,12500.0,2.15664244609565,0.5,0.423258559622196,1.0018788163457022,1.0029626253418413,0.9993660393511361,0.5,0
8,2159,1446,862,4467,348,55,126,126,12,60,1,0.00012554065701013872,0.07276686097290029,149,1.0009697768824628,5788.617809985251,9166.666666666666,12500.0,2.1594101407831325,0.5,0.4547563805104408,1.0330143540669856,1.039804469273743,0.9981886330340614,0.5,0
9,2156,1445,854,4455,368,41,80,80,12,90,2,0.0001588850719889178,0.0822746909505289,149,1.000437120987374,5779.772496302006,9166.666666666666,12500.0,2.1627148833276233,0.5,0.4707259953161593,1.0271557884707003,1.0269709543568464,0.9972827378936574,0.5,0
10,2113,1414,837,4364,467,29,59,59,12,148,2,0.00020283008780369827,0.09381455034408949,146,0.9994962222524624,5764.573308037921,9166.666666666666,12500.0,2.1684172152985606,0.5,0.47442163571195833,1.0076299475441106,1.0059935454126325,0.9972747423277771,0.5,0
