month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_mid_vs_cf,employed_senior_vs_cf,employed_total_vs_cf,scenario,seed,date
0,2158,1443,854,4455,269,24,45,45,27,64,0,3.6985899511355754e-05,0.03960832151777864,1.0037362840637059,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,1.0,0.3372365339578454,1.0018570102135562,1.0041753653444676,1.0,1.0022497187851518,slow,0,2023-01-01
1,2157,1444,858,4459,281,29,65,65,21,56,0,4.364468216377957e-05,0.042941654851111975,1.0037105640858797,5833.333333333333,9166.666666666666,12500.0,2.142857142857143,1.0,0.3706293706293706,0.9894495412844037,0.9897189856065799,0.9976744186046511,0.991109135363414,slow,0,2023-02-01
2,2147,1441,844,4432,319,20,45,45,18,67,2,5.119956854380334e-05,0.0462749881844453,1.0037060969401626,5832.724811172865,9166.666666666666,12500.0,2.1430807049315352,1.0,0.3459715639810427,0.9916859122401848,0.9917412250516173,0.9802555168408827,0.989506586291583,slow,0,2023-03-01
3,2162,1443,856,4461,304,35,74,74,16,44,1,6.034350296550465e-05,0.05009339648324269,1.00364635416399,5832.155160766678,9166.666666666666,12500.0,2.143290028373797,1.0,0.37850467289719625,1.000925925925926,0.9951724137931034,0.9930394431554525,0.9975402504472272,slow,0,2023-04-01
4,2183,1460,866,4509,271,45,92,92,16,44,1,7.081877064477529e-05,0.053989307573385686,1.0036273768871455,5832.155160766678,9166.666666666666,12500.0,2.143290028373797,1.0,0.42401847575057744,1.0041398344066237,1.0006854009595614,1.0,1.0022227161591464,slow,0,2023-05-01
5,2181,1451,858,4490,303,35,65,65,16,83,2,8.308661413528378e-05,0.05816229330186922,1.0035501683870356,5830.42946858583,9166.666666666666,12500.0,2.143924399969094,1.0,0.4382284382284382,1.0073903002309468,1.0090403337969402,0.9953596287703016,1.005599104143337,slow,0,2023-06-01
6,2180,1453,863,4496,307,26,61,61,15,52,2,9.57735475937073e-05,0.06155326985421829,1.003312273949076,5827.028384729155,9166.666666666666,12500.0,2.145175752491381,1.0,0.4250951829167357,1.0083256244218317,1.008327550312283,1.0093567251461988,1.0085240017945267,slow,0,2023-07-01
7,2180,1454,863,4497,315,21,54,54,14,49,1,0.00011182262774311984,0.06597460740164356,1.0030103326813418,5822.203518292069,9166.666666666666,12500.0,2.146953461988709,1.0,0.4084588644264195,1.0050714615029968,1.0062283737024222,1.0105386416861826,1.006490599820949,slow,0,2023-08-01
8,2194,1459,868,4521,296,50,97,97,13,69,4,0.00012936876195906988,0.07005952634419206,1.0027550736539748,5818.088071379057,9166.666666666666,12500.0,2.148472117754851,1.0,0.4377880184331797,1.0036596523330283,1.0034387895460797,1.0163934426229508,1.006008010680908,slow,0,2023-09-01
9,2198,1467,874,4539,286,34,74,74,14,54,4,0.00014878138033434113,0.07394841523308093,1.0024307884291848,5813.262382218332,9166.666666666666,12500.0,2.1502556014390697,1.0,0.43798627002288326,1.001366742596811,0.9972807613868117,1.0127462340672073,1.0022079929344225,slow,0,2023-10-01
10,2202,1470,873,4545,290,38,77,77,13,69,1,0.00017096327114868732,0.0779794956682471,1.002085404692965,5807.627440768084,9166.666666666666,12500.0,2.1523419206013705,1.0,0.44611059044048734,1.0,1.0020449897750512,1.0092485549132948,1.0024261138067931,slow,0,2023-11-01
11,2216,1474,874,4564,275,37,70,73,13,47,5,0.0001951512563785276,0.0816778323735085,1.0017887527676295,5802.695453976495,9166.666666666666,12500.0,2.154171298346176,1.0,0.45080091533180777,1.0077307867212368,1.0095890410958903,1.0150987224157957,1.0097345132743363,slow,0,2023-12-01
12,2211,1470,883,4564,281,24,66,81,13,62,3,0.00022164355676364223,0.08511468127700385,1.001336695943267,5796.1156118099325,9166.666666666666,12500.0,2.1566167476940077,1.0,0.44620611551528877,1.010973936899863,1.0040983606557377,1.0243619489559164,1.011300686904498,slow,0,2024-01-01
13,2204,1478,884,4566,291,24,65,65,13,63,1,0.000251048361356526,0.08844801461033719,1.000781581215539,5787.4635749354375,9166.666666666666,12500.0,2.1598408073159137,1.0,0.44004524886877827,1.010082493125573,1.016506189821183,1.0243337195828506,1.0148921982662813,slow,0,2024-02-01
14,2226,1487,882,4595,264,46,80,83,12,47,6,0.00028487855481707024,0.09207471672873396,1.0003879944562724,5780.766719420847,9166.666666666666,12500.0,2.162342922091194,1.0,0.47052154195011336,1.022038567493113,1.0226960110041265,1.023201856148492,1.0224744103248775,slow,0,2024-03-01
15,2226,1488,886,4600,266,27,60,65,13,53,4,0.00032222244984523435,0.09553423138482797,0.9998958116917283,5773.24475790642,9166.666666666666,12500.0,2.1651602390287255,1.0,0.45936794582392776,1.0234482758620689,1.0262068965517241,1.0266512166859791,1.0249554367201426,slow,0,2024-04-01
16,2210,1482,882,4574,299,26,51,52,12,76,4,0.0003655560213571958,0.09941609807246275,0.9992525400363658,5763.159498141107,9166.666666666666,12500.0,2.168949168252561,1.0,0.4399092970521542,1.010054844606947,1.01160409556314,1.0161290322580645,1.0117230701172306,slow,0,2024-05-01
17,2223,1490,882,4595,286,44,83,86,11,60,1,0.0004153084834086747,0.10359879733180785,0.9986639978561594,5753.772795245932,9166.666666666666,12500.0,2.1724875911555204,1.0,0.4501133786848073,1.0072496601721794,1.0142954390742,1.0126291618828933,1.010556410820321,slow,0,2024-06-01
