month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,grads,layoffs,exits,ai_task_share,unit_cost_rel,elasticity,junior_hires_per_senior,seed
0,2162,1455,865,4482,34,0,34,0,0,0.0,1.0090401051686837,0.3,0.0,0
1,2132,1474,899,4505,39,29,34,0,0,0.0006977941177830173,1.0083712080311897,0.3,0.1935483870967742,0
2,2108,1506,905,4519,57,57,34,71,0,0.0016394089248909691,1.0074685872823967,0.3,0.38011049723756907,0
3,2083,1519,898,4500,106,53,34,86,0,0.0029131251860469586,1.0062476180317903,0.3,0.4643652561247216,0
4,2043,1525,901,4469,170,34,34,77,0,0.004617748361797881,1.0046135865406842,0.3,0.46082130965593787,0
5,1994,1527,897,4418,253,37,34,97,0,0.00679915722836335,1.0025225139601561,0.3,0.4682274247491639,0
6,1962,1511,897,4370,334,37,34,98,0,0.00951960013486224,0.9999147297635008,0.3,0.4720496894409938,0
7,1924,1509,895,4328,407,36,34,84,0,0.012911132484064515,0.9966636472130949,0.3,0.47430167597765366,0
8,1905,1485,897,4287,478,36,34,87,0,0.017105225649111874,0.9926432394151657,0.3,0.47417316982534374,0
9,1866,1487,907,4260,535,36,34,79,0,0.02230666835874886,0.9876571983313426,0.3,0.4696802646085998,0
10,1837,1498,887,4222,601,35,34,87,0,0.028627890438053243,0.9815977500692316,0.3,0.47965563185405347,0
11,1801,1488,896,4185,671,39,34,90,0,0.03623219436668849,0.9743083548151411,0.3,0.47879464285714285,0
12,1771,1482,890,4143,745,41,34,97,0,0.045388054354550254,0.9655316563863323,0.3,0.5280898876404494,0
13,1728,1491,886,4105,811,34,34,87,4,0.05320373804504966,0.9580396350079571,0.3,0.536117381489842,0
14,1689,1498,869,4056,882,35,34,94,9,0.061903180516890415,0.9497004529785966,0.3,0.5212888377445339,0
15,1646,1485,875,4006,955,40,34,100,11,0.07136408581324241,0.9406313417471356,0.3,0.5028571428571429,0
16,1613,1468,865,3946,1025,43,34,111,21,0.0815057892595194,0.9309096255107159,0.3,0.5190751445086705,0
17,1572,1469,860,3901,1077,39,34,93,25,0.09275256365621072,0.9201286014116723,0.3,0.5244186046511627,0
18,1537,1455,854,3846,1134,38,34,99,31,0.10486471626855622,0.9085180360531812,0.3,0.5292740046838408,0
19,1492,1456,850,3798,1183,45,34,105,31,0.1176214854340282,0.8962895489378576,0.3,0.5423529411764706,0
20,1443,1440,857,3740,1240,44,34,110,34,0.13106653256384782,0.88340128675648,0.3,0.5472578763127188,0
21,1402,1425,851,3678,1289,39,34,109,44,0.1449546543284501,0.8700882985028278,0.3,0.554641598119859,0
22,1372,1401,839,3612,1333,41,34,113,51,0.1596024146701127,0.8560471297489727,0.3,0.5697258641239571,0
23,1337,1395,827,3559,1369,44,34,103,49,0.17473926234378728,0.8415371276988344,0.3,0.5840386940749698,0
24,1297,1398,816,3511,1398,39,34,94,51,0.1898429682550728,0.8270588949477318,0.3,0.5894607843137255,0
25,1250,1382,818,3450,1427,41,34,106,63,0.20529599797583445,0.8122458045498501,0.3,0.5965770171149144,0
26,1220,1352,816,3388,1464,43,34,115,57,0.22096746523667476,0.7972233225254757,0.3,0.6078431372549019,0
27,1180,1337,810,3327,1501,43,34,117,54,0.23682223619686585,0.7820251277562339,0.3,0.6160493827160494,0
28,1125,1351,795,3271,1530,41,34,117,59,0.25315154473038665,0.7663720469162378,0.3,0.6251572327044025,0
29,1096,1333,774,3203,1551,40,34,120,78,0.2687006030152343,0.7514669046795721,0.3,0.6434108527131783,0
30,1054,1310,771,3135,1589,43,34,117,62,0.2843904422134081,0.7364268115346971,0.3,0.6523994811932555,0
31,1059,1261,766,3086,1601,43,34,109,69,0.30017104492170255,0.7212997135691146,0.3,0.6540469973890339,0
32,1037,1250,760,3047,1615,45,34,97,57,0.31603202847038514,0.7060955634864754,0.3,0.6605263157894737,0
33,1020,1244,750,3014,1598,43,34,95,84,0.3323181442492863,0.6904838867070602,0.3,0.6746666666666666,0
34,1021,1205,743,2969,1595,44,34,103,81,0.3479752068795776,0.6754752127901135,0.3,0.6850605652759085,0
35,1020,1191,729,2940,1575,48,34,93,81,0.36317397897056924,0.6609058507304408,0.3,0.7037037037037037,0
36,1019,1170,723,2912,1572,55,34,96,61,0.3781250071042399,0.6465739730800809,0.3,0.7316735822959889,0
37,1022,1166,703,2891,1549,55,37,96,78,0.39261627878670863,0.6326828124926999,0.3,0.7724039829302988,0
38,1027,1156,696,2879,1506,52,38,78,92,0.4071199577151212,0.6187797584670046,0.3,0.7931034482758621,0
