anchor,eps,seed,month,junior,total
0.08,0.5,0,0,1.011142061281337,1.0119235095613048
0.08,0.5,0,6,0.99859616284511,1.0015905476028175
0.08,0.5,0,12,1.0134680134680134,1.0099791134834069
0.08,0.5,0,18,0.9738439981317142,0.9741789354473386
0.08,0.5,0,24,0.9793038570084666,0.9810718358038768
0.08,0.5,0,30,0.9753787878787878,0.9734553775743707
0.08,0.5,0,36,0.950485886163813,0.9496418979409131
0.08,0.5,0,42,0.9441189725101397,0.9413943355119826
0.08,0.5,0,48,0.9400352733686067,0.9406109805597095
0.08,0.5,0,54,0.9177158273381295,0.9190952588081774
0.08,0.5,0,60,0.8760563380281691,0.8840118262451672
0.08,0.5,0,66,0.8026740433379438,0.8297539149888143
0.08,0.5,0,72,0.6991468343062416,0.7530971527928711
0.08,0.5,0,78,0.6089285714285714,0.6931056840285282
0.08,0.5,0,84,0.533273381294964,0.6396337475474166
0.08,0.5,0,90,0.48560986751941526,0.6050364479787939
0.08,0.5,0,96,0.4518380642159144,0.5861680558684388
0.08,0.5,0,102,0.467035732259688,0.6201267056530214
0.08,0.5,0,108,0.43293293293293295,0.5822631451417495
0.08,0.5,0,114,0.4401840490797546,0.596694622594968
0.08,0.5,0,120,0.4478497281265447,0.6098203592814371
0.08,0.5,0,126,0.45023207839092316,0.6111249688201547
0.08,0.5,0,132,0.45891472868217054,0.6248441007732601
0.08,0.5,0,138,0.4514811031664964,0.6204162537165511
0.08,0.5,0,144,0.4490717511289513,0.6112463485881208
0.08,0.5,0,150,0.43306693306693306,0.5960328979196904
0.08,0.5,1,0,1.0050761421319796,1.0094064949608064
0.08,0.5,1,6,0.9943529411764706,0.9938398357289527
0.08,0.5,1,12,1.0056657223796035,1.004108650992924
0.08,0.5,1,18,1.005186232909005,1.0009122006841504
0.08,0.5,1,24,0.9926686217008798,0.9926661935178613
0.08,0.5,1,30,0.9473935915829746,0.9433787843771666
0.08,0.5,1,36,0.938872970391595,0.9382230448866266
0.08,0.5,1,42,0.974609375,0.973578674215617
0.08,0.5,1,48,0.9543707973102786,0.9535207994422495
0.08,0.5,1,54,0.9253731343283582,0.9270736253494875
0.08,0.5,1,60,0.873015873015873,0.8863795110593714
0.08,0.5,1,66,0.8197932053175776,0.8521614521136852
0.08,0.5,1,72,0.6528189910979229,0.7066985645933014
0.08,0.5,1,78,0.5496108949416343,0.6372595025809479
0.08,0.5,1,84,0.478852698104035,0.5890249646726331
0.08,0.5,1,90,0.4620412267471091,0.5937728046703965
0.08,0.5,1,96,0.428854734754586,0.568622754491018
0.08,0.5,1,102,0.4111650485436893,0.5514567669172933
0.08,0.5,1,108,0.40465793304221254,0.5457523987830564
0.08,0.5,1,114,0.39835031538088306,0.5431924882629108
0.08,0.5,1,120,0.43134171907756813,0.5878772508242455
0.08,0.5,1,126,0.4072191154041688,0.5568685376661743
0.08,0.5,1,132,0.40846506884242734,0.5595472440944882
0.08,0.5,1,138,0.40884252359662193,0.5618680789600385
0.08,0.5,1,144,0.40461010299166256,0.5549228944246738
0.08,0.5,1,150,0.4159113796576032,0.5735150925024343
0.08,0.75,0,0,1.001392757660167,1.0020247469066366
0.08,0.75,0,6,0.9489939167056621,0.9525107930015906
0.08,0.75,0,12,1.0081770081770083,1.0041773033186354
0.08,0.75,0,18,0.9715086408220458,0.9721404303510759
0.08,0.75,0,24,0.9755409219190969,0.9794754846066135
0.08,0.75,0,30,0.9715909090909091,0.968649885583524
0.08,0.75,0,36,0.9486348912540491,0.9487466427931961
0.08,0.75,0,42,0.9202343397926994,0.916557734204793
0.08,0.75,0,48,0.9144620811287478,0.9154026917325357
0.08,0.75,0,54,0.9181654676258992,0.9204001739886908
0.08,0.75,0,60,0.9070422535211268,0.9178985672049125
0.08,0.75,0,66,0.8234209313047487,0.8543624161073825
0.08,0.75,0,72,0.7193533902110463,0.7754835905237992
0.08,0.75,0,78,0.6392857142857142,0.7341690079965421
0.08,0.75,0,84,0.5822841726618705,0.7083060824068018
0.08,0.75,0,90,0.5340338053905893,0.6788159929313011
0.08,0.75,0,96,0.5104699860400186,0.6726740256814598
0.08,0.75,0,102,0.5314544539506794,0.716374269005848
0.08,0.75,0,108,0.5075075075075075,0.6896050399806155
0.08,0.75,0,114,0.5209611451942741,0.7094227923038974
0.08,0.75,0,120,0.5165595650024716,0.7087425149700599
0.08,0.75,0,126,0.5415162454873647,0.7463207782489398
0.08,0.75,0,132,0.5503875968992248,0.7508106759790472
0.08,0.75,0,138,0.5459652706843718,0.7522299306243806
0.08,0.75,0,144,0.5539387857501255,0.7555988315481986
0.08,0.75,0,150,0.5634365634365635,0.7694726656990808
